date,open,high,low,close,volume
2020-09-17 09:00:00,2.9,2.9398,2.8881,2.9031,304.84815912
2020-09-17 09:01:00,2.9321,2.9398,2.9031,2.9093,0.18
2020-09-17 09:02:00,2.9123,2.9398,2.9031,2.9346,501.89629249
2020-09-17 09:03:00,2.9001,2.9497,2.9001,2.9467,195.07968089
2020-09-17 09:04:00,2.9467,2.9763,2.9189,2.9763,163.7837
2020-09-17 09:05:00,2.9734,3.1,2.9734,3.0003,746.72848043
2020-09-17 09:06:00,3.0034,3.1,3.0034,3.0743,893.68872506
2020-09-17 09:07:00,3.0743,3.1,3.0297,3.05,838.9119
2020-09-17 09:08:00,3.0507,3.1,3.0501,3.0555,118.8747399
2020-09-17 09:09:00,3.0586,3.178,3.0586,3.0905,1209.94376831
2020-09-17 09:10:00,3.1422,3.1664,3.0905,3.1459,1000.63830998
2020-09-17 09:11:00,3.1633,3.1662,3.1459,3.1459,287.494
2020-09-17 09:12:00,3.1632,3.1656,3.0508,3.0508,52.9487
2020-09-17 09:13:00,3.0707,3.0817,3.0501,3.08,429.97215625
2020-09-17 09:14:00,3.0801,3.2,3.0416,3.192,876.12133762
2020-09-17 09:15:00,3.1309,3.1965,3.08,3.0805,471.8959
2020-09-17 09:16:00,3.137,3.137,3.0804,3.137,0.49
2020-09-17 09:17:00,3.0804,3.2,3.0804,3.0936,587.17991954
2020-09-17 09:18:00,3.144,3.144,3.0905,3.1343,6.4637
2020-09-17 09:19:00,3.144,3.2,3.1309,3.1376,1717.5606
2020-09-17 09:20:00,3.1407,3.2,3.106,3.1091,2113.15776875
2020-09-17 09:21:00,3.1999,3.1999,3.1061,3.1201,0.28
2020-09-17 09:22:00,3.178,3.178,3.13,3.1386,0.1
2020-09-17 09:23:00,3.178,3.2,3.1383,3.2,662.23778812
2020-09-17 09:24:00,3.1999,3.3788,3.1401,3.1401,2426.59168041
2020-09-17 09:25:00,3.1401,3.35,3.1401,3.2001,747.8491428
2020-09-17 09:26:00,3.2001,3.2614,3.1402,3.1405,507.64225343
2020-09-17 09:27:00,3.1921,3.2197,3.1405,3.2196,792.076
2020-09-17 09:28:00,3.2195,3.2196,3.1419,3.1481,239.4272
2020-09-17 09:29:00,3.2011,3.2011,3.145,3.1481,0.1
2020-09-17 09:30:00,3.1955,3.37,3.1481,3.37,1338.09047244
2020-09-17 09:31:00,3.1545,3.3,3.1513,3.1514,3803.81841341
2020-09-17 09:32:00,3.2195,3.2195,3.1405,3.2098,1551.49275783
2020-09-17 09:33:00,3.1406,3.5,3.1405,3.1501,2325.58489225
2020-09-17 09:34:00,3.15,3.2197,3.0,3.0966,358.7566
2020-09-17 09:35:00,3.0966,3.1999,3.01,3.1999,2548.7604
2020-09-17 09:36:00,3.2,3.3475,3.2,3.3475,377.39342201
2020-09-17 09:37:00,3.3476,3.5,3.3476,3.4999,491.85352877
2020-09-17 09:38:00,3.4999,3.4999,3.26,3.3913,155.71359539
2020-09-17 09:39:00,3.26,3.4804,3.21,3.3804,984.81137113
2020-09-17 09:40:00,3.3847,3.3847,3.21,3.2101,1199.3744
2020-09-17 09:41:00,3.2101,3.2101,3.2,3.2,771.8056
2020-09-17 09:42:00,3.21,3.3,3.2,3.2,2075.1998
2020-09-17 09:43:00,3.2,3.2999,3.1999,3.2999,1048.05962914
2020-09-17 09:44:00,3.1999,3.2617,3.1999,3.2617,1886.07637821
2020-09-17 09:45:00,3.2617,3.2999,3.1999,3.1999,159.95771157
2020-09-17 09:46:00,3.2617,3.2617,3.1999,3.1999,1435.1492
2020-09-17 09:47:00,3.2,3.2,3.1,3.1,2022.8898
2020-09-17 09:48:00,3.1031,3.1999,3.1,3.131,38.23957054
2020-09-17 09:49:00,3.1998,3.1998,3.1309,3.1309,35.79736249
2020-09-17 09:50:00,3.1998,3.1998,3.1309,3.1313,45.2161
2020-09-17 09:51:00,3.1309,3.1709,3.1135,3.1679,1223.3451798
2020-09-17 09:52:00,3.1709,3.1751,3.0113,3.0113,2974.3433
2020-09-17 09:53:00,3.0935,3.178,3.0117,3.05,1439.37114174
2020-09-17 09:54:00,3.05,3.05,3.03,3.0355,209.6306
2020-09-17 09:55:00,3.0439,3.0469,3.0302,3.0302,207.0623
2020-09-17 09:56:00,3.0408,3.0923,3.0201,3.0201,1317.96550138
2020-09-17 09:57:00,3.0273,3.04,2.9341,2.9341,355.6756
2020-09-17 09:58:00,2.9693,2.9693,2.85,2.8501,216.8237
2020-09-17 09:59:00,2.8961,3.0,2.8501,2.9,432.7559
